id,text,label
737,Official statement released by authorities,non-rumor
738,This is a rumor circulating online,non-rumor
739,Breaking news event reported in Beijing,non-rumor
740,Official statement released by authorities,rumor
741,Check facts before sharing this post,non-rumor
742,This is a rumor circulating online,non-rumor
743,This is a rumor circulating online,non-rumor
744,This is a rumor circulating online,rumor
745,Unverified claim spreading rapidly,non-rumor
746,Official statement released by authorities,rumor
747,Breaking news event reported in Beijing,rumor
748,This is a rumor circulating online,non-rumor
749,Check facts before sharing this post,rumor
750,Breaking news event reported in Beijing,rumor
751,Unverified claim spreading rapidly,non-rumor
752,Breaking news event reported in Beijing,rumor
753,Breaking news event reported in Beijing,rumor
754,Official statement released by authorities,rumor
755,Official statement released by authorities,rumor
756,Breaking news event reported in Beijing,non-rumor
757,Check facts before sharing this post,non-rumor
758,Check facts before sharing this post,rumor
759,Check facts before sharing this post,non-rumor
760,Official statement released by authorities,rumor
761,Check facts before sharing this post,non-rumor
762,Breaking news event reported in Beijing,rumor
763,Official statement released by authorities,rumor
764,Breaking news event reported in Beijing,non-rumor
765,This is a rumor circulating online,non-rumor
766,Check facts before sharing this post,non-rumor
767,Official statement released by authorities,rumor
768,Breaking news event reported in Beijing,non-rumor
769,Check facts before sharing this post,non-rumor
770,This is a rumor circulating online,non-rumor
771,Unverified claim spreading rapidly,non-rumor
772,Unverified claim spreading rapidly,non-rumor
773,Breaking news event reported in Beijing,rumor
774,Unverified claim spreading rapidly,rumor
775,Official statement released by authorities,rumor
776,Check facts before sharing this post,rumor
777,Check facts before sharing this post,rumor
778,Unverified claim spreading rapidly,rumor
779,Check facts before sharing this post,non-rumor
780,Official statement released by authorities,rumor
781,Check facts before sharing this post,rumor
782,Check facts before sharing this post,non-rumor
783,Official statement released by authorities,non-rumor
784,This is a rumor circulating online,rumor
785,Unverified claim spreading rapidly,non-rumor
786,Breaking news event reported in Beijing,rumor
787,Official statement released by authorities,non-rumor
788,Official statement released by authorities,rumor
789,This is a rumor circulating online,non-rumor
790,Breaking news event reported in Beijing,rumor
791,Unverified claim spreading rapidly,non-rumor
792,Official statement released by authorities,non-rumor
793,Breaking news event reported in Beijing,non-rumor
794,Check facts before sharing this post,non-rumor
795,Unverified claim spreading rapidly,rumor
796,This is a rumor circulating online,non-rumor
797,Unverified claim spreading rapidly,non-rumor
798,Unverified claim spreading rapidly,non-rumor
799,Official statement released by authorities,rumor
800,Unverified claim spreading rapidly,non-rumor
801,This is a rumor circulating online,rumor
802,Breaking news event reported in Beijing,non-rumor
803,This is a rumor circulating online,non-rumor
804,Official statement released by authorities,rumor
805,Breaking news event reported in Beijing,non-rumor
806,Unverified claim spreading rapidly,rumor
807,This is a rumor circulating online,rumor
808,This is a rumor circulating online,rumor
809,Breaking news event reported in Beijing,non-rumor
810,This is a rumor circulating online,rumor
811,Unverified claim spreading rapidly,non-rumor
812,Check facts before sharing this post,non-rumor
813,Official statement released by authorities,rumor
814,Unverified claim spreading rapidly,rumor
815,This is a rumor circulating online,rumor
816,This is a rumor circulating online,non-rumor
817,Breaking news event reported in Beijing,non-rumor
818,Breaking news event reported in Beijing,non-rumor
819,Unverified claim spreading rapidly,non-rumor
820,This is a rumor circulating online,non-rumor
821,Unverified claim spreading rapidly,non-rumor
822,Unverified claim spreading rapidly,rumor
823,Breaking news event reported in Beijing,non-rumor
824,Breaking news event reported in Beijing,non-rumor
825,Breaking news event reported in Beijing,rumor
826,Breaking news event reported in Beijing,rumor
827,Breaking news event reported in Beijing,rumor
828,Check facts before sharing this post,rumor
829,Official statement released by authorities,non-rumor
830,Unverified claim spreading rapidly,rumor
831,Check facts before sharing this post,non-rumor
832,Official statement released by authorities,rumor
833,Breaking news event reported in Beijing,non-rumor
834,Official statement released by authorities,non-rumor
835,Unverified claim spreading rapidly,rumor
836,Check facts before sharing this post,non-rumor
837,This is a rumor circulating online,non-rumor
838,Official statement released by authorities,non-rumor
839,Breaking news event reported in Beijing,non-rumor
840,Check facts before sharing this post,rumor
841,Unverified claim spreading rapidly,non-rumor
842,Check facts before sharing this post,non-rumor
843,Official statement released by authorities,non-rumor
844,Check facts before sharing this post,rumor
845,Breaking news event reported in Beijing,non-rumor
846,Breaking news event reported in Beijing,non-rumor
847,Breaking news event reported in Beijing,rumor
848,Unverified claim spreading rapidly,rumor
849,Official statement released by authorities,non-rumor
850,This is a rumor circulating online,rumor
851,Breaking news event reported in Beijing,non-rumor
852,Unverified claim spreading rapidly,rumor
853,Unverified claim spreading rapidly,non-rumor
854,Breaking news event reported in Beijing,non-rumor
855,This is a rumor circulating online,rumor
856,Unverified claim spreading rapidly,non-rumor
857,Official statement released by authorities,rumor
858,Breaking news event reported in Beijing,non-rumor
859,Unverified claim spreading rapidly,rumor
860,Check facts before sharing this post,rumor
861,Unverified claim spreading rapidly,non-rumor
862,Check facts before sharing this post,non-rumor
863,This is a rumor circulating online,non-rumor
864,Check facts before sharing this post,rumor
865,Check facts before sharing this post,non-rumor
866,Breaking news event reported in Beijing,non-rumor
867,Official statement released by authorities,rumor
868,Official statement released by authorities,rumor
869,This is a rumor circulating online,rumor
870,Official statement released by authorities,rumor
871,This is a rumor circulating online,rumor
872,Unverified claim spreading rapidly,non-rumor
873,Check facts before sharing this post,rumor
874,Unverified claim spreading rapidly,rumor
875,Breaking news event reported in Beijing,rumor
876,This is a rumor circulating online,rumor
877,Unverified claim spreading rapidly,non-rumor
878,Unverified claim spreading rapidly,rumor
879,This is a rumor circulating online,non-rumor
880,Official statement released by authorities,non-rumor
881,Official statement released by authorities,non-rumor
882,Official statement released by authorities,rumor
883,Check facts before sharing this post,non-rumor
884,Unverified claim spreading rapidly,non-rumor
885,Official statement released by authorities,rumor
886,This is a rumor circulating online,non-rumor
887,Breaking news event reported in Beijing,rumor
888,Check facts before sharing this post,non-rumor
889,Unverified claim spreading rapidly,rumor
890,Official statement released by authorities,rumor
891,Unverified claim spreading rapidly,non-rumor
892,Breaking news event reported in Beijing,non-rumor
893,Unverified claim spreading rapidly,non-rumor
894,Breaking news event reported in Beijing,non-rumor
895,Official statement released by authorities,non-rumor
896,This is a rumor circulating online,non-rumor
897,Official statement released by authorities,rumor
898,Unverified claim spreading rapidly,rumor
899,Breaking news event reported in Beijing,non-rumor
900,This is a rumor circulating online,non-rumor
901,This is a rumor circulating online,non-rumor
902,Unverified claim spreading rapidly,non-rumor
903,Official statement released by authorities,rumor
904,Unverified claim spreading rapidly,non-rumor
905,Check facts before sharing this post,non-rumor
906,Unverified claim spreading rapidly,non-rumor
907,Unverified claim spreading rapidly,rumor
908,Breaking news event reported in Beijing,non-rumor
909,This is a rumor circulating online,rumor
910,Official statement released by authorities,non-rumor
911,This is a rumor circulating online,non-rumor
912,Breaking news event reported in Beijing,rumor
913,This is a rumor circulating online,non-rumor
914,Breaking news event reported in Beijing,non-rumor
915,Unverified claim spreading rapidly,rumor
916,This is a rumor circulating online,non-rumor
917,Breaking news event reported in Beijing,rumor
918,Breaking news event reported in Beijing,non-rumor
919,Breaking news event reported in Beijing,rumor
920,Unverified claim spreading rapidly,rumor
921,Check facts before sharing this post,rumor
922,Breaking news event reported in Beijing,rumor
923,Check facts before sharing this post,non-rumor
924,This is a rumor circulating online,non-rumor
925,This is a rumor circulating online,rumor
926,This is a rumor circulating online,rumor
927,Unverified claim spreading rapidly,non-rumor
928,Breaking news event reported in Beijing,rumor
929,Official statement released by authorities,non-rumor
930,Breaking news event reported in Beijing,rumor
931,Unverified claim spreading rapidly,rumor
932,Check facts before sharing this post,non-rumor
933,This is a rumor circulating online,non-rumor
934,This is a rumor circulating online,rumor
935,Unverified claim spreading rapidly,non-rumor
936,This is a rumor circulating online,rumor
937,Check facts before sharing this post,non-rumor
938,Breaking news event reported in Beijing,non-rumor
939,This is a rumor circulating online,rumor
940,This is a rumor circulating online,rumor
941,Official statement released by authorities,rumor
942,Breaking news event reported in Beijing,rumor
943,Official statement released by authorities,non-rumor
944,Official statement released by authorities,non-rumor
945,This is a rumor circulating online,non-rumor
946,Breaking news event reported in Beijing,rumor
947,Check facts before sharing this post,rumor
948,This is a rumor circulating online,rumor
949,This is a rumor circulating online,rumor
950,Breaking news event reported in Beijing,rumor
951,Check facts before sharing this post,non-rumor
952,This is a rumor circulating online,rumor
953,Breaking news event reported in Beijing,non-rumor
954,This is a rumor circulating online,rumor
955,Check facts before sharing this post,rumor
956,Official statement released by authorities,non-rumor
957,This is a rumor circulating online,non-rumor
958,Official statement released by authorities,rumor
959,Check facts before sharing this post,rumor
960,Breaking news event reported in Beijing,rumor
961,Unverified claim spreading rapidly,non-rumor
962,Check facts before sharing this post,non-rumor
963,Breaking news event reported in Beijing,rumor
964,Unverified claim spreading rapidly,rumor
965,Official statement released by authorities,rumor
966,Unverified claim spreading rapidly,rumor
967,Official statement released by authorities,rumor
968,Official statement released by authorities,rumor
969,Breaking news event reported in Beijing,rumor
970,Breaking news event reported in Beijing,rumor
971,Check facts before sharing this post,rumor
972,Unverified claim spreading rapidly,rumor
973,This is a rumor circulating online,non-rumor
974,Breaking news event reported in Beijing,non-rumor
975,Check facts before sharing this post,rumor
976,Check facts before sharing this post,rumor
977,Breaking news event reported in Beijing,rumor
978,Breaking news event reported in Beijing,rumor
979,Check facts before sharing this post,rumor
980,This is a rumor circulating online,rumor
981,Breaking news event reported in Beijing,rumor
982,This is a rumor circulating online,rumor
983,Unverified claim spreading rapidly,non-rumor
984,Unverified claim spreading rapidly,rumor
985,Check facts before sharing this post,non-rumor
986,This is a rumor circulating online,non-rumor
987,This is a rumor circulating online,rumor
988,Check facts before sharing this post,rumor
989,Breaking news event reported in Beijing,rumor
990,This is a rumor circulating online,non-rumor
991,Check facts before sharing this post,rumor
992,Official statement released by authorities,rumor
993,Unverified claim spreading rapidly,non-rumor
994,Official statement released by authorities,non-rumor
995,This is a rumor circulating online,non-rumor
996,Check facts before sharing this post,non-rumor
997,This is a rumor circulating online,rumor
998,Breaking news event reported in Beijing,non-rumor
999,Breaking news event reported in Beijing,non-rumor
1000,This is a rumor circulating online,non-rumor
1001,Official statement released by authorities,non-rumor
1002,Check facts before sharing this post,non-rumor
1003,Official statement released by authorities,non-rumor
1004,Unverified claim spreading rapidly,non-rumor
1005,Unverified claim spreading rapidly,rumor
1006,Breaking news event reported in Beijing,rumor
1007,Unverified claim spreading rapidly,non-rumor
1008,Breaking news event reported in Beijing,non-rumor
1009,Breaking news event reported in Beijing,rumor
1010,Breaking news event reported in Beijing,non-rumor
1011,Check facts before sharing this post,non-rumor
1012,Check facts before sharing this post,non-rumor
1013,Breaking news event reported in Beijing,rumor
1014,Unverified claim spreading rapidly,non-rumor
1015,Check facts before sharing this post,rumor
1016,Unverified claim spreading rapidly,rumor
1017,Official statement released by authorities,non-rumor
1018,Breaking news event reported in Beijing,rumor
1019,This is a rumor circulating online,non-rumor
1020,Official statement released by authorities,non-rumor
1021,Official statement released by authorities,rumor
1022,Unverified claim spreading rapidly,rumor
1023,Unverified claim spreading rapidly,rumor
1024,Breaking news event reported in Beijing,rumor
1025,This is a rumor circulating online,rumor
1026,Breaking news event reported in Beijing,rumor
1027,Breaking news event reported in Beijing,non-rumor
1028,Breaking news event reported in Beijing,non-rumor
1029,Unverified claim spreading rapidly,non-rumor
1030,This is a rumor circulating online,rumor
1031,Breaking news event reported in Beijing,rumor
1032,Check facts before sharing this post,rumor
1033,Check facts before sharing this post,rumor
1034,Unverified claim spreading rapidly,rumor
1035,Unverified claim spreading rapidly,rumor
1036,Unverified claim spreading rapidly,rumor
1037,Breaking news event reported in Beijing,rumor
1038,Check facts before sharing this post,non-rumor
1039,This is a rumor circulating online,non-rumor
1040,Check facts before sharing this post,rumor
1041,Breaking news event reported in Beijing,rumor
1042,Unverified claim spreading rapidly,rumor
1043,This is a rumor circulating online,non-rumor
1044,Breaking news event reported in Beijing,non-rumor
1045,Check facts before sharing this post,non-rumor
1046,Official statement released by authorities,non-rumor
1047,Breaking news event reported in Beijing,rumor
1048,Official statement released by authorities,non-rumor
1049,Breaking news event reported in Beijing,non-rumor
1050,Breaking news event reported in Beijing,non-rumor
1051,This is a rumor circulating online,rumor
1052,Official statement released by authorities,rumor
1053,This is a rumor circulating online,non-rumor
1054,This is a rumor circulating online,non-rumor
1055,Breaking news event reported in Beijing,non-rumor
1056,This is a rumor circulating online,rumor
1057,Unverified claim spreading rapidly,non-rumor
1058,Check facts before sharing this post,non-rumor
1059,This is a rumor circulating online,rumor
1060,Official statement released by authorities,rumor
1061,Official statement released by authorities,non-rumor
1062,This is a rumor circulating online,non-rumor
1063,Official statement released by authorities,non-rumor
1064,This is a rumor circulating online,rumor
1065,Unverified claim spreading rapidly,non-rumor
1066,Check facts before sharing this post,non-rumor
1067,Check facts before sharing this post,rumor
1068,Breaking news event reported in Beijing,rumor
1069,Official statement released by authorities,non-rumor
1070,Breaking news event reported in Beijing,rumor
1071,This is a rumor circulating online,non-rumor
1072,Check facts before sharing this post,non-rumor
1073,Breaking news event reported in Beijing,rumor
1074,Check facts before sharing this post,rumor
1075,Official statement released by authorities,non-rumor
1076,Official statement released by authorities,non-rumor
1077,Breaking news event reported in Beijing,rumor
1078,Unverified claim spreading rapidly,non-rumor
1079,Breaking news event reported in Beijing,non-rumor
1080,Unverified claim spreading rapidly,non-rumor
1081,Check facts before sharing this post,rumor
1082,Unverified claim spreading rapidly,rumor
1083,Official statement released by authorities,rumor
1084,Check facts before sharing this post,non-rumor
1085,Breaking news event reported in Beijing,non-rumor
1086,Check facts before sharing this post,rumor
1087,Breaking news event reported in Beijing,non-rumor
1088,This is a rumor circulating online,non-rumor
1089,Breaking news event reported in Beijing,non-rumor
1090,Breaking news event reported in Beijing,non-rumor
1091,Check facts before sharing this post,non-rumor
1092,Unverified claim spreading rapidly,non-rumor
1093,This is a rumor circulating online,rumor
1094,Unverified claim spreading rapidly,non-rumor
1095,Unverified claim spreading rapidly,non-rumor
1096,Check facts before sharing this post,non-rumor
1097,Breaking news event reported in Beijing,non-rumor
1098,This is a rumor circulating online,non-rumor
1099,Breaking news event reported in Beijing,rumor
1100,Breaking news event reported in Beijing,non-rumor
1101,Official statement released by authorities,rumor
1102,Breaking news event reported in Beijing,rumor
1103,Check facts before sharing this post,rumor
1104,Breaking news event reported in Beijing,rumor
1105,This is a rumor circulating online,non-rumor
1106,Breaking news event reported in Beijing,rumor
1107,Breaking news event reported in Beijing,rumor
1108,Breaking news event reported in Beijing,rumor
1109,Breaking news event reported in Beijing,non-rumor
1110,This is a rumor circulating online,rumor
1111,Check facts before sharing this post,non-rumor
1112,Official statement released by authorities,non-rumor
1113,Breaking news event reported in Beijing,rumor
1114,Check facts before sharing this post,rumor
1115,This is a rumor circulating online,rumor
1116,Check facts before sharing this post,non-rumor
1117,Breaking news event reported in Beijing,non-rumor
1118,This is a rumor circulating online,non-rumor
1119,Official statement released by authorities,non-rumor
1120,Official statement released by authorities,non-rumor
1121,Unverified claim spreading rapidly,non-rumor
1122,Official statement released by authorities,non-rumor
1123,Official statement released by authorities,rumor
1124,This is a rumor circulating online,rumor
1125,This is a rumor circulating online,non-rumor
1126,Check facts before sharing this post,rumor
1127,Breaking news event reported in Beijing,rumor
1128,This is a rumor circulating online,rumor
1129,This is a rumor circulating online,non-rumor
1130,Official statement released by authorities,non-rumor
1131,Check facts before sharing this post,non-rumor
1132,Check facts before sharing this post,rumor
1133,Breaking news event reported in Beijing,non-rumor
1134,Unverified claim spreading rapidly,non-rumor
1135,This is a rumor circulating online,rumor
1136,Check facts before sharing this post,non-rumor
1137,This is a rumor circulating online,non-rumor
1138,Official statement released by authorities,non-rumor
1139,This is a rumor circulating online,non-rumor
1140,Official statement released by authorities,rumor
1141,Official statement released by authorities,non-rumor
1142,This is a rumor circulating online,non-rumor
1143,Unverified claim spreading rapidly,non-rumor
1144,This is a rumor circulating online,non-rumor
1145,This is a rumor circulating online,rumor
1146,Breaking news event reported in Beijing,non-rumor
1147,This is a rumor circulating online,non-rumor
1148,Check facts before sharing this post,rumor
1149,Unverified claim spreading rapidly,rumor
1150,Breaking news event reported in Beijing,non-rumor
1151,Breaking news event reported in Beijing,rumor
1152,This is a rumor circulating online,rumor
1153,This is a rumor circulating online,non-rumor
1154,Unverified claim spreading rapidly,rumor
1155,Check facts before sharing this post,non-rumor
1156,This is a rumor circulating online,rumor
1157,Breaking news event reported in Beijing,non-rumor
1158,Unverified claim spreading rapidly,non-rumor
1159,Official statement released by authorities,non-rumor
1160,Official statement released by authorities,rumor
1161,Unverified claim spreading rapidly,rumor
1162,This is a rumor circulating online,non-rumor
1163,Breaking news event reported in Beijing,non-rumor
1164,Breaking news event reported in Beijing,rumor
1165,Breaking news event reported in Beijing,rumor
1166,Check facts before sharing this post,non-rumor
1167,Unverified claim spreading rapidly,non-rumor
1168,Official statement released by authorities,rumor
1169,Unverified claim spreading rapidly,non-rumor
1170,Unverified claim spreading rapidly,non-rumor
1171,Check facts before sharing this post,non-rumor
1172,Breaking news event reported in Beijing,rumor
1173,Official statement released by authorities,non-rumor
1174,This is a rumor circulating online,rumor
1175,Check facts before sharing this post,rumor
1176,Check facts before sharing this post,rumor
1177,Check facts before sharing this post,non-rumor
1178,Breaking news event reported in Beijing,rumor
1179,Unverified claim spreading rapidly,rumor
1180,Unverified claim spreading rapidly,non-rumor
1181,Official statement released by authorities,non-rumor
1182,Official statement released by authorities,rumor
1183,Unverified claim spreading rapidly,rumor
1184,This is a rumor circulating online,rumor
1185,This is a rumor circulating online,non-rumor
1186,Breaking news event reported in Beijing,rumor
1187,Breaking news event reported in Beijing,rumor
1188,Unverified claim spreading rapidly,non-rumor
1189,Unverified claim spreading rapidly,non-rumor
1190,Check facts before sharing this post,rumor
1191,Unverified claim spreading rapidly,rumor
1192,Breaking news event reported in Beijing,non-rumor
1193,This is a rumor circulating online,non-rumor
1194,Unverified claim spreading rapidly,rumor
1195,This is a rumor circulating online,non-rumor
1196,Check facts before sharing this post,non-rumor
1197,Unverified claim spreading rapidly,non-rumor
1198,Breaking news event reported in Beijing,rumor
1199,Check facts before sharing this post,rumor
1200,Unverified claim spreading rapidly,rumor
1201,Official statement released by authorities,non-rumor
1202,Breaking news event reported in Beijing,rumor
1203,This is a rumor circulating online,rumor
1204,Check facts before sharing this post,rumor
1205,Unverified claim spreading rapidly,non-rumor
1206,Unverified claim spreading rapidly,non-rumor
1207,Official statement released by authorities,rumor
1208,Official statement released by authorities,non-rumor
1209,This is a rumor circulating online,rumor
1210,Check facts before sharing this post,rumor
1211,Unverified claim spreading rapidly,non-rumor
1212,This is a rumor circulating online,rumor
1213,This is a rumor circulating online,rumor
1214,Unverified claim spreading rapidly,rumor
1215,Check facts before sharing this post,non-rumor
1216,Official statement released by authorities,non-rumor
1217,Breaking news event reported in Beijing,rumor
1218,Breaking news event reported in Beijing,non-rumor
1219,Unverified claim spreading rapidly,non-rumor
1220,Check facts before sharing this post,rumor
1221,This is a rumor circulating online,rumor
1222,This is a rumor circulating online,non-rumor
1223,Breaking news event reported in Beijing,rumor
1224,Official statement released by authorities,rumor
1225,This is a rumor circulating online,non-rumor
1226,Unverified claim spreading rapidly,non-rumor
1227,This is a rumor circulating online,non-rumor
1228,Official statement released by authorities,rumor
1229,Breaking news event reported in Beijing,non-rumor
1230,This is a rumor circulating online,rumor
1231,Breaking news event reported in Beijing,rumor
1232,Official statement released by authorities,rumor
1233,Unverified claim spreading rapidly,non-rumor
1234,Check facts before sharing this post,rumor
1235,Check facts before sharing this post,non-rumor
1236,Official statement released by authorities,rumor
1237,This is a rumor circulating online,rumor
1238,Check facts before sharing this post,non-rumor
1239,Check facts before sharing this post,non-rumor
1240,Breaking news event reported in Beijing,rumor
1241,Check facts before sharing this post,rumor
1242,Check facts before sharing this post,rumor
1243,Official statement released by authorities,non-rumor
1244,This is a rumor circulating online,non-rumor
1245,Check facts before sharing this post,rumor
1246,Unverified claim spreading rapidly,rumor
1247,Check facts before sharing this post,non-rumor
1248,Unverified claim spreading rapidly,rumor
1249,Unverified claim spreading rapidly,rumor
1250,Check facts before sharing this post,rumor
1251,Unverified claim spreading rapidly,non-rumor
1252,Check facts before sharing this post,non-rumor
1253,Official statement released by authorities,non-rumor
1254,Breaking news event reported in Beijing,non-rumor
1255,This is a rumor circulating online,rumor
1256,This is a rumor circulating online,non-rumor
1257,Breaking news event reported in Beijing,rumor
1258,Unverified claim spreading rapidly,non-rumor
1259,Official statement released by authorities,rumor
1260,Check facts before sharing this post,rumor
1261,Check facts before sharing this post,rumor
1262,Official statement released by authorities,non-rumor
1263,Unverified claim spreading rapidly,rumor
1264,Check facts before sharing this post,rumor
1265,This is a rumor circulating online,rumor
1266,Breaking news event reported in Beijing,rumor
1267,Unverified claim spreading rapidly,rumor
1268,Unverified claim spreading rapidly,non-rumor
1269,This is a rumor circulating online,rumor
1270,Unverified claim spreading rapidly,non-rumor
1271,This is a rumor circulating online,rumor
1272,Official statement released by authorities,non-rumor
1273,Check facts before sharing this post,non-rumor
1274,Unverified claim spreading rapidly,non-rumor
1275,Check facts before sharing this post,non-rumor
1276,Official statement released by authorities,rumor
1277,Official statement released by authorities,rumor
1278,This is a rumor circulating online,non-rumor
1279,Check facts before sharing this post,non-rumor
1280,Check facts before sharing this post,non-rumor
1281,Unverified claim spreading rapidly,rumor
1282,Official statement released by authorities,non-rumor
1283,Check facts before sharing this post,rumor
1284,Unverified claim spreading rapidly,rumor
1285,Check facts before sharing this post,non-rumor
1286,Breaking news event reported in Beijing,non-rumor
1287,Unverified claim spreading rapidly,non-rumor
1288,Official statement released by authorities,rumor
1289,This is a rumor circulating online,non-rumor
1290,Official statement released by authorities,non-rumor
1291,Breaking news event reported in Beijing,non-rumor
1292,Check facts before sharing this post,non-rumor
1293,Official statement released by authorities,rumor
1294,Check facts before sharing this post,rumor
1295,Check facts before sharing this post,rumor
1296,Breaking news event reported in Beijing,non-rumor
1297,Unverified claim spreading rapidly,rumor
1298,Breaking news event reported in Beijing,rumor
1299,Check facts before sharing this post,non-rumor
1300,Official statement released by authorities,non-rumor
1301,Unverified claim spreading rapidly,rumor
1302,Unverified claim spreading rapidly,rumor
1303,Check facts before sharing this post,rumor
1304,This is a rumor circulating online,non-rumor
1305,This is a rumor circulating online,non-rumor
1306,Check facts before sharing this post,rumor
1307,This is a rumor circulating online,non-rumor
1308,Check facts before sharing this post,non-rumor
1309,This is a rumor circulating online,non-rumor
1310,Breaking news event reported in Beijing,rumor
1311,Breaking news event reported in Beijing,rumor
1312,Official statement released by authorities,non-rumor
1313,This is a rumor circulating online,rumor
1314,Check facts before sharing this post,non-rumor
1315,This is a rumor circulating online,non-rumor
1316,Unverified claim spreading rapidly,non-rumor
1317,Check facts before sharing this post,rumor
1318,Breaking news event reported in Beijing,non-rumor
1319,Breaking news event reported in Beijing,rumor
1320,Breaking news event reported in Beijing,rumor
1321,This is a rumor circulating online,non-rumor
1322,Official statement released by authorities,non-rumor
1323,Unverified claim spreading rapidly,rumor
1324,This is a rumor circulating online,rumor
1325,Breaking news event reported in Beijing,rumor
1326,Unverified claim spreading rapidly,rumor
1327,Check facts before sharing this post,non-rumor
1328,Breaking news event reported in Beijing,rumor
1329,This is a rumor circulating online,non-rumor
1330,Breaking news event reported in Beijing,rumor
1331,Breaking news event reported in Beijing,non-rumor
1332,Unverified claim spreading rapidly,rumor
1333,Breaking news event reported in Beijing,non-rumor
1334,Official statement released by authorities,non-rumor
1335,Unverified claim spreading rapidly,non-rumor
1336,Check facts before sharing this post,rumor
1337,This is a rumor circulating online,non-rumor
1338,Official statement released by authorities,non-rumor
1339,This is a rumor circulating online,non-rumor
1340,Official statement released by authorities,rumor
1341,Official statement released by authorities,non-rumor
1342,Breaking news event reported in Beijing,rumor
1343,Breaking news event reported in Beijing,rumor
1344,Check facts before sharing this post,rumor
1345,Unverified claim spreading rapidly,non-rumor
1346,Unverified claim spreading rapidly,non-rumor
1347,This is a rumor circulating online,non-rumor
1348,Unverified claim spreading rapidly,non-rumor
1349,Unverified claim spreading rapidly,non-rumor
1350,Check facts before sharing this post,non-rumor
1351,This is a rumor circulating online,rumor
1352,Unverified claim spreading rapidly,rumor
1353,This is a rumor circulating online,non-rumor
1354,Check facts before sharing this post,rumor
1355,Official statement released by authorities,non-rumor
1356,Unverified claim spreading rapidly,rumor
1357,Breaking news event reported in Beijing,non-rumor
1358,Unverified claim spreading rapidly,non-rumor
1359,Unverified claim spreading rapidly,rumor
1360,Unverified claim spreading rapidly,non-rumor
1361,Official statement released by authorities,rumor
1362,This is a rumor circulating online,non-rumor
1363,This is a rumor circulating online,non-rumor
1364,Official statement released by authorities,rumor
1365,Breaking news event reported in Beijing,non-rumor
1366,This is a rumor circulating online,rumor
1367,Check facts before sharing this post,non-rumor
1368,This is a rumor circulating online,rumor
1369,Breaking news event reported in Beijing,non-rumor
1370,Unverified claim spreading rapidly,non-rumor
1371,Check facts before sharing this post,non-rumor
1372,Unverified claim spreading rapidly,non-rumor
1373,Unverified claim spreading rapidly,non-rumor
1374,Breaking news event reported in Beijing,non-rumor
1375,Breaking news event reported in Beijing,non-rumor
1376,Check facts before sharing this post,rumor
1377,Unverified claim spreading rapidly,non-rumor
1378,Official statement released by authorities,non-rumor
1379,Unverified claim spreading rapidly,rumor
1380,Unverified claim spreading rapidly,rumor
1381,This is a rumor circulating online,rumor
1382,Check facts before sharing this post,rumor
1383,Official statement released by authorities,non-rumor
1384,Official statement released by authorities,rumor
1385,Official statement released by authorities,rumor
1386,Unverified claim spreading rapidly,rumor
1387,Breaking news event reported in Beijing,non-rumor
1388,Check facts before sharing this post,non-rumor
1389,Official statement released by authorities,non-rumor
1390,Unverified claim spreading rapidly,non-rumor
1391,Unverified claim spreading rapidly,non-rumor
1392,Unverified claim spreading rapidly,non-rumor
1393,Check facts before sharing this post,rumor
1394,Official statement released by authorities,rumor
1395,This is a rumor circulating online,non-rumor
1396,Breaking news event reported in Beijing,non-rumor
1397,Unverified claim spreading rapidly,non-rumor
1398,Check facts before sharing this post,rumor
1399,Breaking news event reported in Beijing,non-rumor
1400,Official statement released by authorities,non-rumor
1401,This is a rumor circulating online,rumor
1402,Unverified claim spreading rapidly,rumor
1403,This is a rumor circulating online,non-rumor
1404,Official statement released by authorities,rumor
1405,Unverified claim spreading rapidly,non-rumor
1406,Breaking news event reported in Beijing,non-rumor
1407,Check facts before sharing this post,rumor
1408,Breaking news event reported in Beijing,non-rumor
1409,Breaking news event reported in Beijing,rumor
1410,Breaking news event reported in Beijing,non-rumor
1411,Official statement released by authorities,non-rumor
1412,Breaking news event reported in Beijing,non-rumor
1413,Breaking news event reported in Beijing,non-rumor
1414,This is a rumor circulating online,non-rumor
1415,This is a rumor circulating online,rumor
1416,Unverified claim spreading rapidly,non-rumor
1417,Official statement released by authorities,non-rumor
1418,Breaking news event reported in Beijing,non-rumor
1419,Breaking news event reported in Beijing,rumor
1420,Breaking news event reported in Beijing,rumor
1421,Breaking news event reported in Beijing,non-rumor
1422,Check facts before sharing this post,non-rumor
1423,Breaking news event reported in Beijing,non-rumor
1424,Unverified claim spreading rapidly,non-rumor
1425,Unverified claim spreading rapidly,non-rumor
1426,Check facts before sharing this post,non-rumor
1427,Official statement released by authorities,non-rumor
1428,Breaking news event reported in Beijing,rumor
1429,Unverified claim spreading rapidly,non-rumor
1430,Breaking news event reported in Beijing,rumor
1431,Official statement released by authorities,rumor
1432,Official statement released by authorities,rumor
1433,This is a rumor circulating online,non-rumor
1434,Breaking news event reported in Beijing,rumor
1435,Official statement released by authorities,non-rumor
1436,Check facts before sharing this post,rumor
1437,Official statement released by authorities,rumor
1438,This is a rumor circulating online,non-rumor
1439,Official statement released by authorities,non-rumor
1440,Breaking news event reported in Beijing,non-rumor
1441,This is a rumor circulating online,non-rumor
